210.12.0.0 210.12.63.255
210.12.192.0 210.12.255.255
210.12.128.0 210.12.191.255
210.12.64.0 210.12.127.255
210.15.64.0 210.15.95.255
203.93.160.0 203.93.191.255
203.93.32.0 203.93.63.255
210.14.224.0 210.14.255.255
210.15.0.0 210.15.31.255
203.93.16.0 203.93.31.255
203.93.144.0 203.93.159.255
203.93.128.0 203.93.135.255
203.93.0.0 203.93.3.255
203.93.136.0 203.93.139.255
203.93.12.0 203.93.15.255
203.93.4.0 203.93.7.255
203.93.142.0 203.93.143.255
203.93.10.0 203.93.11.255
203.93.140.0 203.93.140.255
203.93.9.0 203.93.9.255
203.93.141.0 203.93.141.255
